team,season,week,opponent,is_home,total_line,spread_line,team_implied_total,opponent_implied_total,rolling_4wk_avg_sacks_allowed,rolling_4wk_avg_turnovers_committed,sacks,interceptions,fumbles_recovered,defensive_tds,points_allowed,dk_fantasy_points,dk_showdown_captain_points
ARI,2020,1,SF,0,48.5,-7.0,27.75,20.75,0.0,0.0,3.0,0.0,0.0,0.0,20.0,4.0,6.0
ARI,2020,2,WAS,1,46.5,7.5,19.5,27.0,3.0,0.0,4.0,0.0,1.0,0.0,15.0,7.0,10.5
ARI,2020,3,DET,1,55.5,4.5,25.5,30.0,2.5,1.0,4.0,0.0,0.0,0.0,26.0,4.0,6.0
ARI,2020,4,CAR,0,52.5,3.0,24.75,27.75,2.6666666666666665,1.3333333333333333,0.0,1.0,0.0,0.0,31.0,1.0,1.5
ARI,2020,5,NYJ,0,48.5,7.0,20.75,27.75,3.0,1.25,3.0,0.0,0.0,0.0,10.0,7.0,10.5
ARI,2020,6,DAL,0,55.5,-1.0,28.25,27.25,2.0,2.75,3.0,2.0,2.0,0.0,10.0,15.0,22.5
ARI,2020,7,SEA,1,55.5,-3.5,29.5,26.0,3.0,1.0,2.0,3.0,0.0,0.0,34.0,7.0,10.5
ARI,2020,9,MIA,1,49.0,6.0,21.5,27.5,1.5,1.5,3.0,0.0,0.0,0.0,34.0,2.0,3.0
ARI,2020,10,BUF,1,55.5,3.0,26.25,29.25,2.5,0.75,0.0,2.0,0.0,0.0,30.0,3.0,4.5
ARI,2020,11,SEA,0,56.5,-3.0,29.75,26.75,3.75,2.5,3.0,0.0,0.0,0.0,28.0,2.0,3.0
ARI,2020,12,NE,0,51.0,1.0,25.0,26.0,1.25,0.25,3.0,2.0,0.0,0.0,20.0,8.0,12.0
ARI,2020,13,LA,1,49.0,-2.5,25.75,23.25,1.75,2.75,1.0,0.0,0.0,0.0,38.0,-3.0,-4.5
ARI,2020,14,NYG,0,47.0,3.0,22.0,25.0,2.5,0.75,8.0,0.0,3.0,0.0,7.0,18.0,27.0
ARI,2020,15,PHI,1,49.5,6.5,21.5,28.0,4.5,1.5,6.0,0.0,0.0,0.0,26.0,6.0,9.0
ARI,2020,16,SF,1,49.0,6.0,21.5,27.5,2.0,2.75,3.0,0.0,1.0,0.0,20.0,6.0,9.0
ARI,2020,17,LA,0,42.0,-1.0,21.5,20.5,2.0,0.75,2.0,1.0,1.0,0.0,18.0,7.0,10.5
ARI,2021,1,TEN,0,54.0,-2.5,28.25,25.75,1.5,1.0,6.0,1.0,2.0,0.0,13.0,16.0,24.0
ARI,2021,2,MIN,1,51.0,4.0,23.5,27.5,2.75,0.75,1.0,0.0,0.0,0.0,33.0,0.0,0.0
ARI,2021,3,JAX,0,51.5,8.0,21.75,29.75,2.25,2.0,3.0,2.0,2.0,1.0,19.0,18.0,27.0
ARI,2021,4,LA,0,53.5,-3.5,28.5,25.0,1.25,1.0,0.0,1.0,1.0,0.0,20.0,5.0,7.5
ARI,2021,5,SF,1,48.5,6.0,21.25,27.25,1.75,1.5,2.0,1.0,0.0,0.0,10.0,8.0,12.0
ARI,2021,6,CLE,0,48.0,-3.0,25.5,22.5,2.75,0.75,5.0,1.0,2.0,0.0,14.0,12.0,18.0
ARI,2021,7,HOU,1,47.0,20.5,13.25,33.75,3.0,2.25,2.0,0.0,1.0,0.0,5.0,11.0,16.5
ARI,2021,8,GB,1,51.0,6.5,22.25,28.75,2.75,0.75,1.0,0.0,1.0,0.0,24.0,3.0,4.5
ARI,2021,9,SF,0,44.5,-5.5,25.0,19.5,1.5,1.75,5.0,1.0,2.0,0.0,17.0,12.0,18.0
ARI,2021,10,CAR,1,42.0,7.0,17.5,24.5,2.75,2.0,0.0,1.0,1.0,0.0,34.0,3.0,4.5
ARI,2021,11,SEA,0,46.0,-2.5,24.25,21.75,4.0,0.75,4.0,0.0,0.0,0.0,13.0,8.0,12.0
ARI,2021,13,CHI,0,43.5,7.5,18.0,25.5,2.75,1.5,3.0,4.0,0.0,0.0,22.0,11.0,16.5
ARI,2021,14,LA,1,51.0,3.0,24.0,27.0,2.5,1.75,3.0,0.0,0.0,0.0,30.0,2.0,3.0
ARI,2021,15,DET,0,48.0,13.0,17.5,30.5,1.5,1.75,2.0,0.0,1.0,0.0,30.0,3.0,4.5
ARI,2021,16,IND,1,48.0,3.0,22.5,25.5,1.25,1.5,2.0,0.0,0.0,0.0,22.0,2.0,3.0
ARI,2021,17,DAL,0,53.0,-6.5,29.75,23.25,2.75,1.0,1.0,0.0,1.0,0.0,22.0,3.0,4.5
