gvkey,conm,cusip,fyear,naicsh,sich,emp,at,revt,oibdp,ni,xrd,xsga,xlr,lt,ceq,capx,che,prcc_f,csho,mktcap,mktcap_rank,r2000_proxy,naicsh_str,tech,Employer,Initial Approvals,Initial Denials,Continuing Approvals,Continuing Denials,total_petitions,total_approvals,total_denials,approval_rate,h1b_employer,h1b_user_pre,h1b_user,post_baha,h1b_user_x_post,operating_margin,roa,rd_intensity,log_emp,log_revt,h1b_intensity
1013,ADC TELECOMMUNICATIONS INC,000886309,2010,334210,3661.0,9.3,1474.5,1156.6,121.4,62.0,69.7,358.0,,1040.1,429.6,29.4,696.9,12.67,97.2,1231.524,2138.0,1,334210,1,ADC TELECOMMUNICATIONS INC,0.0,0.0,4.0,0.0,4.0,4.0,0.0,1.0,ADC TELECOMMUNICATIONS INC,1,1,0,0,0.10496282206467233,0.0420481519159037,0.060262839356735265,2.2300144001592104,7.053239945724118,0.00043010752688172043
1072,AVX CORP,002444107,2010,334414,3670.0,11.2,2319.482,1653.176,381.118,244.003,7.392,123.887,,280.065,2039.417,27.47,781.011,14.91,170.142,2536.81722,1419.0,1,334414,1,AVX CORPORATION,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,AVX CORPORATION,1,1,0,0,0.2305368575396691,0.10519719489092823,0.004471393245486265,2.4159137783010487,7.410453565232418,8.928571428571429e-05
1327,SKYWORKS SOLUTIONS INC,83088M102,2010,334413,3674.0,3.7,1564.052,1071.849,251.413,137.294,134.14,251.993,,247.456,1316.596,88.929,459.385,20.67,180.263,3726.03621,1099.0,1,334413,1,SKYWORKS SOLUTIONS INC,12.0,0.0,10.0,0.0,22.0,22.0,0.0,1.0,SKYWORKS SOLUTIONS INC,1,1,0,0,0.2345600919532509,0.08778096891919196,0.1251482251697767,1.308332819650179,6.977140473500342,0.005945945945945946
1468,AMERICAN GREETINGS  -CL A,026375105,2010,511191,2771.0,24.8,1547.249,1592.568,222.845,87.018,,728.403,,783.491,763.758,36.346,215.838,21.65,40.407,874.8115499999999,2534.0,1,511191,1,AMERICAN GREETINGS CORP,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,AMERICAN GREETINGS CORP,1,1,0,0,0.13992809098261424,0.05624046291191657,,3.2108436531709366,7.373103086691678,8.064516129032258e-05
1554,AMERICAN SCIENCE ENGINEERING,029429107,2010,334517,3844.0,0.42,336.574,278.576,69.405,42.817,22.619,64.758,,70.494,266.08,5.304,190.683,92.36,9.17,846.9412,2569.0,1,334517,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0.2491420653609787,0.12721422332087445,0.0811950778243639,-0.8675005677047231,5.629690912624243,0.0
1968,BADGER METER INC,056525108,2010,334514,3824.0,1.293,215.864,276.634,52.542,28.662,7.164,58.741,,47.481,168.383,9.238,3.089,44.22,15.048,665.42256,2861.0,1,334514,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0.1899332692293789,0.13277804543601526,0.025897033625657002,0.2569650997897204,5.622695332862296,0.0
2220,BIO-RAD LABORATORIES INC,090572207,2010,334516,3826.0,6.88,3062.764,1927.118,392.209,185.49,172.266,807.479,,1522.245,1536.696,88.463,1031.609,103.85,27.853,2892.53405,1302.0,1,334516,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0,0,0,0.20352100909233375,0.06056294249246759,0.0893904784242584,1.9286186519452522,7.563780901620011,0.0
2504,UNISYS CORP,909214306,2010,541512,7373.0,22.9,3020.9,4019.6,514.4,236.1,78.9,696.0,,3954.7,-937.3,64.1,828.3,25.89,42.6,1102.914,2262.0,1,541512,1,UNISYS CORPORATION,2.0,0.0,21.0,0.0,23.0,23.0,0.0,1.0,UNISYS CORPORATION,1,1,0,0,0.12797293263011245,0.07815551656791023,0.0196288187879391,3.131136910560194,8.298937674174804,0.0010043668122270743
2536,LIVERAMP HOLDINGS INC,53815P108,2010,518210,7374.0,6.6,1306.625,1159.97,222.348,-23.147,11.6,159.884,,715.592,585.178,59.021,207.023,14.35,80.584,1156.3804,2210.0,1,518210,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0,0,0,0.19168426769657837,-0.01771510571127906,0.010000258627378293,1.8870696490323797,7.0561494216970155,0.0
2596,CACI INTL INC  -CL A,127190304,2010,541512,7373.0,13.1,2244.766,3149.131,245.882,106.515,,693.736,,1071.611,1170.713,22.503,254.543,42.48,30.249,1284.97752,2089.0,1,541512,1,CACI ENTERPRISE SOLUTIONS INC,0.0,0.0,3.0,0.0,3.0,3.0,0.0,1.0,CACI ENTERPRISE SOLUTIONS INC,1,1,0,0,0.07807931775464406,0.047450380128708294,,2.5726122302071057,8.054881820743844,0.00022900763358778625
