player_id,player_display_name,recent_team,season,week,opponent_team,is_home,is_division_rival,total_line,team_spread,team_implied_total,rolling_4wk_avg_rb_fantasy_points_allowed,rolling_4wk_avg_rb_rushing_yards_allowed,rolling_4wk_avg_rb_receiving_yards_allowed,rolling_4wk_avg_rb_receptions_allowed,snap_percentage,carries,targets,total_touches,target_share,red_zone_touches,goal_line_touches,rushing_yards,rushing_tds,rushing_epa,receptions,receiving_yards,receiving_tds,receiving_epa,yards_per_touch,fantasy_points,fantasy_points_ppr,dk_fantasy_points,fd_fantasy_points,dk_showdown_captain_points
00-0036265,A.J. Dillon,GB,2020,1,MIN,0,0,0.0,0.0,0.0,,,,,0.0,2,0,2,,0.0,0.0,14.0,0,0.7342619895935059,0,0.0,0,,7.0,1.399999976158142,1.399999976158142,1.4000000000000001,1.4000000000000001,2.1
00-0036265,A.J. Dillon,GB,2020,2,DET,1,1,51.0,7.0,22.0,15.199999809265137,124.0,28.0,4.0,0.0,5,0,5,,0.0,0.0,17.0,0,-0.423469215631485,0,0.0,0,,3.4,1.7000000476837158,1.7000000476837158,1.7000000000000002,1.7000000000000002,2.5500000000000003
00-0036265,A.J. Dillon,GB,2020,4,ATL,1,0,56.5,5.0,25.75,18.366667091846466,72.33333333333333,38.0,6.666666666666667,0.0,1,0,1,,0.0,0.0,3.0,0,-0.24451075494289398,0,0.0,0,,3.0,0.30000001192092896,0.30000001192092896,0.30000000000000004,0.30000000000000004,0.45000000000000007
00-0036265,A.J. Dillon,GB,2020,6,TB,0,0,0.0,0.0,0.0,14.54999965429306,38.5,67.0,8.75,0.0,5,0,5,,0.0,0.0,31.0,0,-0.009880654513835907,0,0.0,0,,6.2,3.0999999046325684,3.0999999046325684,3.1,3.1,4.65
00-0036265,A.J. Dillon,GB,2020,7,HOU,0,0,0.0,0.0,0.0,28.77500026859343,157.0,45.75,4.75,0.0,5,0,5,,0.0,0.0,11.0,0,-1.6447662115097046,0,0.0,0,,2.2,1.100000023841858,1.100000023841858,1.1,1.1,1.6500000000000001
00-0036265,A.J. Dillon,GB,2020,8,MIN,1,1,47.0,5.5,20.75,16.499999791383743,91.0,34.0,5.0,0.0,5,1,6,0.02631578966975212,0.0,0.0,21.0,0,0.19068701565265656,1,16.0,0,1.6789613962173462,6.166666666666667,3.700000047683716,4.699999809265137,4.7,4.2,7.050000000000001
00-0036265,A.J. Dillon,GB,2020,15,CAR,1,0,53.0,9.5,21.75,12.849999815225601,101.25,22.25,3.5,0.0,1,0,1,,0.0,0.0,18.0,0,1.4185984134674072,0,0.0,0,,18.0,1.7999999523162842,1.7999999523162842,1.8,1.8,2.7
00-0036265,A.J. Dillon,GB,2020,16,TEN,1,0,52.5,3.0,24.75,17.75000023841858,80.25,57.25,7.25,0.0,21,1,22,0.0416666679084301,5.0,0.0,124.0,2,9.77449893951416,1,5.0,0,0.13877606391906738,5.863636363636363,24.899999618530273,25.899999618530273,28.9,25.4,43.349999999999994
00-0036265,A.J. Dillon,GB,2020,17,CHI,0,0,0.0,0.0,0.0,15.675000183284283,84.75,32.0,4.25,0.0,1,0,1,,0.0,0.0,3.0,0,-0.025328436866402626,0,0.0,0,,3.0,0.30000001192092896,0.30000001192092896,0.30000000000000004,0.30000000000000004,0.45000000000000007
00-0036265,A.J. Dillon,GB,2020,19,LA,1,0,45.0,7.0,19.0,14.699999898672104,69.0,33.0,4.5,0.0,6,0,6,,0.0,0.0,27.0,0,-0.5793334245681763,0,0.0,0,,4.5,2.700000047683716,2.700000047683716,2.7,2.7,4.050000000000001
00-0036265,A.J. Dillon,GB,2020,20,TB,1,0,53.0,3.0,25.0,11.975000161677599,74.75,35.0,4.5,0.0,3,1,4,0.021739130839705467,0.0,0.0,17.0,0,0.6522865295410156,1,13.0,0,0.7173956036567688,7.5,3.0,4.0,4.0,3.5,6.0
