school_id,treatment,district,num_students,num_teachers,baseline_absence_rate,endline_absence_rate,distance_nearest_treat,pct_female_students,has_latrine,water_source_baseline,program_cost_usd
101,1,1,282,8,0.139,0.0949,3.37,48.1,0,3,1187.0
102,0,1,325,8,0.2033,0.2369,3.78,55.3,0,2,
103,0,2,376,12,0.18,0.2113,3.03,46.7,1,3,
104,1,2,428,13,0.1475,0.1135,1.14,60.0,1,3,1209.0
105,0,1,311,10,0.2115,0.2246,1.41,51.1,0,2,
106,1,2,335,9,0.1535,0.124,3.29,43.7,1,1,1123.0
107,1,2,261,9,0.1854,0.178,7.81,42.6,1,1,1401.0
108,1,2,254,6,0.152,0.129,3.73,50.4,1,1,1085.0
109,0,1,415,12,0.2118,0.2344,3.94,46.9,1,1,
110,1,2,458,15,0.2377,0.1981,15.03,51.6,0,3,974.0
111,0,2,344,9,0.1575,0.1644,3.3,50.4,0,1,
112,0,2,430,12,0.1791,0.2002,3.25,47.6,1,2,
113,0,2,378,11,0.1894,0.1884,0.84,43.8,1,3,
114,1,1,298,8,0.1911,0.1477,11.17,40.4,1,1,1041.0
115,1,2,378,9,0.1411,0.1039,4.41,45.8,1,3,1315.0
116,0,1,473,14,0.1706,0.196,5.68,52.3,1,2,
117,0,1,347,9,0.1818,0.2316,6.05,49.1,1,1,
118,0,1,475,14,0.1322,0.1717,5.41,41.8,0,3,
119,1,2,150,4,0.1345,0.1024,6.32,48.9,1,3,1217.0
120,1,1,415,13,0.1088,0.0886,5.44,49.9,1,3,1169.0
121,1,2,356,9,0.1769,0.1455,4.58,43.6,0,3,1434.0
122,0,1,326,9,0.2065,0.2437,7.35,48.8,0,3,
123,0,2,357,11,0.1951,0.2188,1.92,48.3,1,2,
124,1,2,190,4,0.1522,0.1245,8.33,42.3,1,2,1118.0
125,1,1,332,10,0.2189,0.1786,7.55,49.8,1,3,1102.0
126,0,2,378,12,0.1286,0.1646,6.25,50.8,1,3,
127,0,1,468,12,0.1189,0.1175,0.94,53.4,1,3,
128,1,1,308,9,0.1633,0.1202,5.45,53.3,0,2,1116.0
129,0,1,285,8,0.1615,0.1859,2.83,41.1,1,2,
130,0,2,309,10,0.169,0.2233,6.5,43.3,1,3,
131,0,1,423,11,0.088,0.1245,7.95,50.6,1,2,
132,1,1,376,9,0.1673,0.1398,11.42,50.6,1,3,1135.0
133,0,1,307,9,0.1459,0.1919,8.53,50.6,0,3,
134,1,2,391,11,0.1851,0.1492,4.01,60.0,0,2,1118.0
135,0,1,357,10,0.181,0.2144,6.35,50.9,1,3,
136,0,2,427,13,0.1418,0.1487,2.31,53.7,1,3,
137,1,2,293,8,0.1346,0.103,3.37,52.8,1,1,826.0
138,1,2,323,9,0.1382,0.0996,5.45,51.3,1,3,1130.0
139,0,2,318,9,0.1481,0.1636,2.22,46.4,1,2,
140,1,1,232,6,0.1987,0.1663,5.1,51.8,1,3,1535.0
141,0,2,373,13,0.1204,0.1554,6.15,44.1,1,2,
142,0,1,370,11,0.1851,0.2125,5.78,46.8,1,3,
143,1,1,350,9,0.1341,0.0975,7.64,45.6,1,2,1366.0
144,1,1,331,10,0.1262,0.1002,1.14,48.4,1,1,758.0
145,0,2,236,6,0.1668,0.2307,9.98,59.6,1,3,
146,0,2,316,10,0.1189,0.1395,4.74,38.7,1,1,
147,1,2,322,10,0.1334,0.1022,3.98,51.4,1,2,904.0
148,0,1,285,7,0.1491,0.175,3.31,39.9,0,3,
149,0,2,337,11,0.2289,0.2587,7.19,45.6,1,3,
150,1,1,382,11,0.1511,0.1234,8.04,53.4,1,2,1117.0
151,1,1,500,15,0.149,0.1117,4.01,48.3,1,3,1327.0
152,1,1,363,12,0.1564,0.129,14.93,42.6,1,2,1654.0
153,1,2,370,10,0.1466,0.1085,3.29,44.4,1,2,1236.0
154,1,1,344,9,0.1434,0.097,5.61,51.4,1,2,1250.0
155,0,1,196,5,0.2034,0.2339,7.26,44.3,0,3,
156,0,2,347,9,0.1927,0.2288,5.95,49.1,1,3,
157,1,1,354,10,0.1541,0.1242,4.41,48.2,1,3,1366.0
158,1,1,547,16,0.1527,0.1135,3.73,44.7,1,3,1029.0
159,1,2,334,10,0.1417,0.1148,5.61,58.7,1,1,1214.0
160,0,2,374,12,0.0809,0.0991,5.25,51.2,1,2,
