player_id,player_display_name,recent_team,season,week,opponent_team,is_home,is_division_rival,total_line,team_spread,team_implied_total,rolling_4wk_avg_wr_fantasy_points_allowed,rolling_4wk_avg_wr_receiving_yards_allowed,rolling_4wk_avg_wr_receptions_allowed,snap_percentage,routes_run,targets,receptions,target_share,air_yards_share,wopr,red_zone_targets,receiving_yards,receiving_tds,receiving_epa,yards_per_reception,yards_per_route_run,racr,fantasy_points,fantasy_points_ppr,dk_fantasy_points,fd_fantasy_points,dk_showdown_captain_points
00-0035676,A.J. Brown,TEN,2020,1,DEN,0,0,0.0,0.0,0.0,,,,0.81,8.0,8,5,0.20000000298023224,0.22368420660495758,0.45657894015312195,1.0,39.0,0,-0.8538853526115417,7.8,4.875,0.7647058963775635,3.9000000953674316,8.899999618530273,8.9,6.4,13.350000000000001
00-0035676,A.J. Brown,TEN,2020,5,BUF,1,0,52.0,-3.0,27.5,25.29999997653067,165.5,14.25,0.71,9.0,9,7,0.3214285671710968,0.4806629717350006,0.818606972694397,2.0,82.0,1,7.0022382736206055,11.714285714285714,9.11111111111111,0.9425287246704102,14.199999809265137,21.200000762939453,21.200000000000003,17.700000000000003,31.800000000000004
00-0035676,A.J. Brown,TEN,2020,6,HOU,1,1,52.0,4.0,24.0,23.3750002682209,164.0,12.75,0.84,7.0,7,5,0.17073170840740204,0.3009708821773529,0.46677717566490173,2.0,58.0,2,5.356563568115234,11.6,8.285714285714286,0.6236559152603149,17.799999237060547,22.799999237060547,22.8,20.3,34.2
00-0035676,A.J. Brown,TEN,2020,7,PIT,1,0,51.0,1.0,25.0,26.30000013113022,180.75,12.5,0.93,8.0,8,6,0.2666666805744171,0.3529411852359772,0.6470588445663452,0.0,153.0,1,11.97496509552002,25.5,19.125,1.7000000476837158,21.299999237060547,27.299999237060547,30.3,24.3,45.45
00-0035676,A.J. Brown,TEN,2020,8,CIN,0,0,0.0,0.0,0.0,28.515000253915787,195.25,13.75,0.94,7.0,7,4,0.24137930572032928,0.12033195048570633,0.44630134105682373,2.0,24.0,1,-6.797637462615967,6.0,3.4285714285714284,0.8275862336158752,8.399999618530273,12.399999618530273,12.4,10.4,18.6
00-0035676,A.J. Brown,TEN,2020,9,CHI,1,0,46.5,6.5,20.0,16.300000101327896,128.75,11.25,0.82,9.0,9,4,0.4285714328289032,0.5674418807029724,1.0400664806365967,0.0,101.0,1,3.6198642253875732,25.25,11.222222222222221,0.8278688788414001,16.100000381469727,20.100000381469727,23.1,18.1,34.650000000000006
00-0035676,A.J. Brown,TEN,2020,10,IND,1,1,49.0,-1.0,25.0,24.43000022135675,188.5,12.5,0.75,4.0,4,1,0.14814814925193787,0.2893401086330414,0.42476028203964233,0.0,21.0,0,-1.021409273147583,21.0,5.25,0.3684210479259491,2.0999999046325684,3.0999999046325684,3.1,2.6,4.65
00-0035676,A.J. Brown,TEN,2020,11,BAL,0,0,0.0,0.0,0.0,17.339999824762344,119.0,10.75,0.81,7.0,7,4,0.21875,0.2750000059604645,0.5206249952316284,2.0,62.0,1,6.217329025268555,15.5,8.857142857142858,1.1272727251052856,12.199999809265137,16.200000762939453,16.2,14.2,24.299999999999997
00-0035676,A.J. Brown,TEN,2020,12,IND,0,0,0.0,0.0,0.0,18.999999990686774,147.5,9.75,0.81,6.0,6,4,0.30000001192092896,0.4453125,0.76171875,0.0,98.0,1,7.6396989822387695,24.5,16.333333333333332,1.719298243522644,21.799999237060547,25.799999237060547,19.8,17.8,29.700000000000003
00-0035676,A.J. Brown,TEN,2020,13,CLE,1,0,54.0,4.0,25.0,13.125000163912773,99.5,9.75,0.86,7.0,7,4,0.1666666716337204,0.3592677414417267,0.5014874339103699,1.0,87.0,0,3.982422113418579,21.75,12.428571428571429,0.5541401505470276,6.699999809265137,10.699999809265137,11.700000000000001,8.700000000000001,17.55
